City,id,Country,Lat,Lng
glenwood springs,5423092,US,39.550540999999996,-107.32478300000001
chalmette,4319518,US,29.942698999999998,-89.963402
dzaoudzi,921900,YT,-12.7887,45.269939
cidreira,3466165,BR,-30.181109999999997,-50.205559
chokurdakh,2126123,RU,70.63333100000001,147.916672
talnakh,1490256,RU,69.48650400000001,88.39720200000001
adrar,2508813,DZ,27.874290000000002,-0.29388000000000003
natal,3394023,BR,-5.795,-35.209438
port hardy,6111862,CA,50.699619,-127.419853
bredasdorp,1015776,ZA,-34.53215,20.04031
trairi,3386177,BR,-3.2777800000000004,-39.26889
kodiak,5866583,US,57.790001000000004,-152.407227
tarjan,3044119,HU,47.61042,18.5107
vila velha,3445026,BR,-20.329720000000002,-40.2925
saskylakh,2017155,RU,71.91667199999999,114.08332800000001
novoagansk,1497210,RU,61.944901,76.662498
inyonga,159134,TZ,-6.71667,32.066669
maragogi,3395458,BR,-9.01222,-35.2225
pevek,2122090,RU,69.700829,170.313324
tiruchchendur,1254390,IN,8.48333,78.11666899999999
ambilobe,1082243,MG,-13.2,49.049999
muscat,287286,OM,23.613871,58.592201
orebro,2686657,SE,59.274119999999996,15.2066
tumut,2145875,AU,-35.299999,148.216675
ahipara,2194098,NZ,-35.166672,173.166672
yellowknife,6185377,CA,62.456001,-114.352547
tasiilaq,3424607,GL,65.61451,-37.636761
atuona,4020109,PF,-9.8,-139.033325
arrifes,3373329,PT,37.76667,-25.700001
villa carlos paz,3832791,AR,-31.424141,-64.49778
katsuura,2112309,JP,35.133331,140.300003
new norfolk,2155415,AU,-42.782612,147.058701
jiexiu,1805833,CN,37.024440999999996,111.912498
esperantinopolis,3400739,BR,-4.86667,-44.708328
vestmannaeyjar,3412093,IS,63.442730000000005,-20.27339
cam ranh,1586350,VN,11.921439999999999,109.159126
arica,3899361,CL,-18.475,-70.30416899999999
kapaa,5848280,US,22.075211,-159.318954
the valley,3573374,AI,18.217039,-63.05783100000001
aklavik,5882953,CA,68.219131,-135.010712
meulaboh,1214488,ID,4.1363,96.128502
bathsheba,3374083,BB,13.21667,-59.51667
sao filipe,3374210,CV,14.8961,-24.49556
abha,110690,SA,18.216391,42.50528
provideniya,4031574,RU,64.38333100000001,-173.300003
puerto cabezas,3617154,NI,14.035070000000001,-83.388817
hithadhoo,1282256,MV,-0.6,73.08332800000001
matara,1235846,LK,5.94851,80.535278
burns lake,5911745,CA,54.233101,-125.753304
el zulia,3682682,CO,7.93248,-72.60125
namibe,3347019,AO,-15.196110000000001,12.15222
lompoc,5367788,US,34.639148999999996,-120.457939
bengkulu,1649150,ID,-3.80044,102.265541
baker city,5712169,US,44.774871999999995,-117.83438100000001
tocopilla,3869716,CL,-22.09198,-70.19792199999999
namatanai,2090021,PG,-3.66667,152.433334
panzhihua,6929460,CN,26.585091,101.712761
calabozo,3647444,VE,8.92416,-67.429291
yar-sale,1486321,RU,66.83332800000001,70.83332800000001
moa,3546791,CU,20.65694,-74.94027700000001
ancud,3899695,CL,-41.86972,-73.82028199999999
okhotsk,2122605,RU,59.383331000000005,143.300003
teloloapan,3516060,MX,18.35,-99.849998
mar del plata,3430863,AR,-38.002280999999996,-57.557541
hoi an,1580541,VN,15.879439999999999,108.334999
nosy varika,1058080,MG,-20.58333,48.533328999999995
mahebourg,934322,MU,-20.40806,57.700001
martapura,1636022,ID,-3.41667,114.849998
verkhoyansk,2013465,RU,67.544724,133.384995
pisco,3932145,PE,-13.7,-76.216667
lerwick,2644605,GB,60.15453,-1.14941
cherskiy,2126199,RU,68.75,161.300003
mezen,527321,RU,65.85221899999999,44.240002000000004
carauari,3664659,BR,-4.88278,-66.89582800000001
longyearbyen,2729907,SJ,78.218597,15.640070000000001
faanui,4034551,PF,-16.48333,-151.75
hambantota,1244926,LK,6.1241,81.1185
asyut,359783,EG,27.18096,31.18368
lazaro cardenas,4026082,MX,17.95833,-102.199997
piacabucu,3454005,BR,-10.405560000000001,-36.434441
codrington,2171099,AU,-38.26667,141.966675
ambanja,1083724,MG,-13.683329999999998,48.450001
baijiantan,1529626,CN,45.633331,85.183327
tilichiki,2120591,RU,60.466671,166.100006
hvide sande,2619537,DK,56.00451999999999,8.12937
kon tum,1578500,VN,14.35,108.0
comodoro rivadavia,3860443,AR,-45.866669,-67.5
koraput,1266128,IN,18.816669,82.716667
humberto de campos,3398428,BR,-2.59833,-43.461109
kahului,5847411,US,20.89472,-156.470001
port maria,3488985,JM,18.368489999999998,-76.88945799999999
regeneracao,3390700,BR,-6.23778,-42.688332
veraval,1253237,IN,20.9,70.36666899999999
kruisfontein,986717,ZA,-34.00333,24.731420999999997
takoradi,2294915,GH,4.884469999999999,-1.7553599999999998
kenai,5866063,US,60.55444,-151.258331
zhigansk,2012530,RU,66.769722,123.371109
mahibadhoo,1337605,MV,3.7833300000000003,72.966667
isangel,2136825,VU,-19.549999,169.266663
sanguem,1257399,IN,15.233329999999999,74.16667199999999
port blair,1259385,IN,11.66667,92.75
plettenberg bay,964712,ZA,-34.052738,23.371599
jacareacanga,3397763,BR,-6.22222,-57.752781000000006
haines junction,5969025,CA,60.752159,-137.510818
batagay-alyta,2027042,RU,67.80056,130.411392
kavieng,2094342,PG,-2.57444,150.79669199999998
bendigo,2176187,AU,-36.76667,144.283325
nanortalik,3421765,GL,60.14316899999999,-45.237148
sept-iles,6144312,CA,50.200111,-66.38208
carutapera,3402648,BR,-1.195,-46.02
los llanos de aridane,2514651,ES,28.658509999999996,-17.918209
palana,2122262,RU,59.116668999999995,159.966675
de aar,1011632,ZA,-30.649659999999997,24.0123
arvika,2725123,SE,59.655281,12.585180000000001
tuatapere,2180815,NZ,-46.133331,167.683334
xai-xai,1024552,MZ,-25.051941,33.644169
paamiut,3421193,GL,61.994018999999994,-49.667759000000004
iranshahr,1160939,IR,27.20245,60.684761
torbay,6167817,CA,47.666592,-52.73135
guerrero negro,4021858,MX,27.976940000000003,-114.06111100000001
uturoa,4033205,PF,-16.73333,-151.433334
caninde,3403353,BR,-4.35889,-39.311668
klamath falls,5735238,US,42.224869,-121.78166999999999
quatre cocos,1106643,MU,-20.207781,57.762501
gouyave,3580279,GD,12.16462,-61.729649
cabedelo,3404558,BR,-6.98111,-34.833889
gayeri,2360541,BF,12.64972,0.49306000000000005
vaini,4032243,TO,-21.200001,-175.199997
iqaluit,5983720,CA,63.750591,-68.514488
taoudenni,2450173,ML,22.678329,-3.9836099999999997
beyneu,610298,KZ,45.316669,55.200001
tekeli,1518296,KZ,44.830002,78.823891
mongar,1252514,BT,27.27471,91.239632
jianhu,7071799,CN,29.97986,120.571243
ndele,237379,CF,8.410910000000001,20.64728
kaeo,2189343,NZ,-35.099998,173.783325
yerbogachen,2012956,RU,61.27666899999999,108.010834
yuksekova,296173,TR,37.57362,44.287159
grindavik,3416888,IS,63.8424,-22.43375
warmbad,3352263,,-28.450001,18.73333
evensk,2125693,RU,61.950001,159.233337
elliot lake,5947866,CA,46.383362,-82.63314799999999
sao jose da coroa grande,3388456,BR,-8.897780000000001,-35.147781
shahi,1256731,IN,28.549999,79.316673
hamada,1863310,JP,34.883331,132.083328
lundazi,909299,ZM,-12.29292,33.1782
ouesso,2255564,CG,1.61361,16.05167
zhigalovo,2012532,RU,54.809718999999994,105.157784
lishui,1803245,CN,28.460421000000004,119.910294
maymyo,1309937,MM,22.033331,96.466667
khatanga,2022572,RU,71.966667,102.5
saldanha,3361934,ZA,-33.011669,17.944201
da lat,1584071,VN,11.94646,108.441933
karratha,6620339,AU,-20.73765,116.846291
port macquarie,2152659,AU,-31.433331,152.916672
byron bay,2172880,AU,-28.65,153.616669
dubbo,2168305,AU,-32.25,148.616669
miguel auza,3995943,MX,24.293329,-103.45027900000001
touros,3386213,BR,-5.1988900000000005,-35.460831
port angeles,5807212,US,48.118149,-123.43073999999999
alofi,4036284,NU,-19.059521,-169.918671
bonthe,2409914,SL,7.526389999999999,-12.505
atar,2381334,MR,20.516859,-13.04986
esmeraldas,3464008,BR,-19.762501,-44.313889
gazanjyk,161974,TM,39.244628999999996,55.515361999999996
calvinia,3369174,ZA,-31.47069,19.776010999999997
college,5859699,US,64.856941,-147.80278
sibolga,1213855,ID,1.7427,98.779198
fukue,1863997,JP,32.688061,128.841934
berdigestyakh,2026861,RU,62.098888,126.699173
balabac,1728675,PH,7.9868,117.064499
oksfjord,778362,NO,70.239571,22.34786
kraljevo,789107,RS,43.72583,20.68944
lata,2738381,PT,40.162861,-8.33269
norman wells,6089245,CA,65.282013,-126.832901
biltine,244878,TD,14.53333,20.91667
kuala sungai baru,1759513,MY,2.3594,102.035301
xiongyue,2033630,CN,40.177368,122.122841
vityazevo,473295,RU,44.993057,37.271941999999996
phalombe,924206,MW,-15.80635,35.650669
at-bashi,1528796,KG,41.17017,75.810577
jacobabad,1176515,PK,28.281,68.43875899999999
cabo san lucas,3985710,MX,22.890881,-109.912376
algiers,2507480,DZ,36.752499,3.04197
magdagachi,2020591,RU,53.450001,125.800003
boldumsaz,601661,TM,42.128239,59.671009
aqtobe,610611,KZ,50.27969,57.20718000000001
maldonado,3441894,UY,-34.900002,-54.950001
honningsvag,779554,NO,70.98209399999999,25.970369
keffi,2334652,NG,8.84861,7.87361
saquisili,3651251,EC,-0.8333299999999999,-78.66667199999999
mikuni,1857260,JP,36.21706,136.151855
yumen,1528998,CN,40.283328999999995,97.199997
morro bay,5374920,US,35.365809999999996,-120.849899
valmiera,453754,LV,57.54108000000001,25.427509
kaka,161901,TM,37.348209000000004,59.614311
goderich,5962442,CA,43.75008,-81.716476
zhengjiatun,2033135,CN,43.50639,123.50639299999999
miyako,2111884,JP,39.636669,141.952499
chernyshevskiy,2025456,RU,63.012779,112.47138999999999
jashpurnagar,1269177,IN,22.9,84.150002
ayagoz,1525988,KZ,47.97139,80.439171
ostrovnoy,556268,RU,68.053062,39.513062
montepuez,1037125,MZ,-13.12556,38.999722
vanavara,2013727,RU,60.34,102.27971600000001
kansk,1504682,RU,56.201671999999995,95.717499
salalah,286621,OM,17.015051,54.092369
bukachacha,2026023,RU,52.98333,116.91667199999999
makushino,1500036,RU,55.21028100000001,67.244171
vardo,777019,NO,70.370483,31.110661
talcahuano,3870282,CL,-36.716671000000005,-73.11666899999999
buraydah,107304,SA,26.325991,43.974971999999994
leningradskiy,2123814,RU,69.38333100000001,178.416672
puerto colombia,3671497,CO,10.98778,-74.95472
road town,3577430,VG,18.41667,-64.61666899999999
coquimbo,3893629,CL,-29.953328999999997,-71.343613
ozerna,698110,UA,49.62891,25.328951
atambua,1651103,ID,-9.106110000000001,124.89250200000001
khipro,1173889,PK,25.828470000000003,69.37719
jizan,105299,SA,16.88917,42.551109000000004
buala,2109528,SB,-8.144969999999999,159.592117
gabu,2372532,GW,12.28333,-14.21667
lao cai,1576303,VN,22.48333,103.949997
onega,515246,RU,63.906071,38.14035
port shepstone,964406,ZA,-30.741369,30.454990000000002
yokadouma,2220853,CM,3.5166699999999995,15.05
saryg-sep,1492948,RU,51.5,95.599998
ayame,2292542,CI,5.6083099999999995,-3.1563
kudahuvadhoo,1337607,MV,2.67075,72.89437099999999
mabay,1704644,PH,6.05772,124.46661399999999
sal rei,3374235,CV,16.183331,-22.91667
mariestad,2692613,SE,58.709709,13.823670000000002
nayoro,2128983,JP,44.350559000000004,142.45777900000002
sampit,1628884,ID,-2.53333,112.949997
ugoofaaru,1337619,MV,5.66667,73.0
hualmay,3939761,PE,-11.09639,-77.613892
yeppoon,2142316,AU,-23.133329,150.733337
nizhniy kuranakh,2019135,RU,58.83528100000001,125.486938
jacmel,3723779,HT,18.234171,-72.53472099999999
kilindoni,157429,TZ,-7.9139,39.66684
gushikawa,1863495,JP,26.354440999999998,127.86860700000001
tubmanburg,2273435,LR,6.870830000000001,-10.817219999999999
phek,1259784,IN,25.66667,94.5
kattivakkam,1267433,IN,13.21667,80.316673
sistranda,3139597,NO,63.725552,8.834019999999999
chumikan,2025256,RU,54.71833,135.315002
lashio,1314759,MM,22.933331,97.75
orotukan,2122414,RU,62.26667,151.699997
khandbari,1283217,NP,27.374689,87.203903
bandarbeyla,64814,SO,9.4942,50.812199
kita,2455216,ML,13.0349,-9.4895
huasahuasi,3939123,PE,-11.31667,-75.61666899999999
coihaique,3894426,CL,-45.575241,-72.066193
manavgat,304854,TR,36.786671000000005,31.44306
ramanagaram,1258744,IN,12.71667,77.300003
bilibino,2126682,RU,68.054642,166.43721000000002
birao,240210,CF,10.284880000000001,22.788179
upata,3625710,VE,8.008611,-62.398888
hun,2216645,LY,29.126841,15.94772
ankazobe,1072849,MG,-18.316669,47.116669
soddy-daisy,4658766,US,35.235901,-85.190788
iskilip,745076,TR,40.735279,34.473888
korla,1529376,CN,41.75972,86.14694200000001
inuvik,5983607,CA,68.349861,-133.721817
oussouye,2246901,SN,12.485,-16.54694
berezovyy,2026786,RU,51.666672,135.699997
zaoyang,1785462,CN,32.12722,112.754173
kifri,94298,IQ,34.695869,44.966099
kommunisticheskiy,1502750,RU,61.67889,64.481941
el carrizo,4010589,MX,24.02611,-106.88139299999999
shellbrook,6145951,CA,53.216789,-106.40109299999999
chara,2025630,RU,56.906391000000006,118.263062
primo tapia,3979430,MX,32.220001,-116.917221
hami,1529484,CN,42.799999,93.449997
wajima,1848976,JP,37.400002,136.899994
french harbor,3609667,HN,16.35,-86.433327
enshi,1811720,CN,30.299999,109.48333000000001
ribeira brava,2263905,PT,32.650002,-17.066669
thayetmyo,1292037,MM,19.316669,95.183327
puerto penasco,3991347,MX,31.316669,-113.53333300000001
zomin,1215694,UZ,39.96056,68.39582800000001
teguldet,1489822,RU,57.306389,88.16667199999999
boende,218680,CD,-0.21666999999999997,20.866671
japura,1642773,ID,-0.31667,102.349998
bonavista,5905393,CA,48.649891,-53.114738
aykhal,2027296,RU,66.0,111.5
lulea,604490,SE,65.584152,22.15465
kasongo-lunda,2315026,CD,-6.46667,16.816669
joshimath,1268814,IN,30.566669,79.566673
kailua,5847486,US,21.40222,-157.739441
vytegra,469960,RU,61.006358999999996,36.448109
chiredzi,893485,ZW,-21.049999,31.66667
pontalina,3453158,BR,-17.525,-49.44722
pathein,1328421,MM,16.783331,94.73333000000001
anton lizardo,3532821,MX,19.049999,-95.98333000000001
tashtyp,1490036,RU,52.79389200000001,89.898331
waipawa,2206874,NZ,-41.41222,175.515274
forrest city,4111382,US,35.008148,-90.789833
nishihara,1855342,JP,26.18417,127.755829
khakhea,933649,BW,-24.689541000000002,23.49403
nayagarh,1261580,IN,20.133329,85.099998
baturaja,1649593,ID,-4.13333,104.16667199999999
baruun-urt,2032614,MN,46.680561,113.27916699999999
teluk nibung,1213493,ID,3.0010000000000003,99.816399
kurmanayevka,538685,RU,52.5093,52.067501
lucapa,145724,AO,-8.41915,20.744659
muroto,1856392,JP,33.283328999999995,134.149994
pirovskoye,1494941,RU,57.626670999999995,92.265831
lavrentiya,4031637,RU,65.58332800000001,-171.0
auki,2109701,SB,-8.767610000000001,160.703354
oistins,3373652,BB,13.06667,-59.533329
hirara,1862505,JP,24.799999,125.28333300000001
namie,2111704,JP,37.48333,141.0
pangody,1495626,RU,65.850021,74.48593100000001
melipilla,3880107,CL,-33.700001,-71.216667
ojinaga,3994469,MX,29.566669,-104.41667199999999
campoverde,3733380,PE,-8.47528,-74.805832
nha trang,1572151,VN,12.25,109.183327
nouadhibou,2377457,MR,20.930981,-17.034651
beyla,2423126,GN,8.68333,-8.63333
agidel,484856,RU,55.9077,53.935501
opuwo,3354077,,-18.060679999999998,13.839979999999999
mancio lima,3663516,BR,-7.61417,-72.89582800000001
kieta,2094027,PG,-6.21667,155.633331
gornopravdinsk,1506268,RU,60.049999,69.900002
libohove,782523,AL,40.031109,20.26306
anadyr,2127202,RU,64.75,177.483337
port moresby,2088122,PG,-9.44314,147.17971799999998
atikokan,5888001,CA,48.755508,-91.621597
miri,1738050,MY,4.4148,114.008904
chanute,4269392,US,37.679210999999995,-95.457199
tamale,2294877,GH,9.400780000000001,-0.8393
chor,1181022,PK,25.51667,69.76666999999999
tiarei,4033356,PF,-17.533331,-149.333328
naze,1855540,JP,28.366671000000004,129.483337
armidale,2177671,AU,-30.51667,151.649994
yabrud,162627,SY,33.967361,36.65741
nuuk,3421319,GL,64.183472,-51.721569
necochea,3430443,AR,-38.547259999999994,-58.736752
silver city,5491487,US,32.770081,-108.280327
anloga,2304548,GH,5.79473,0.89728
najran,103630,SA,17.492399,44.127659
ukhta,479411,RU,63.567051,53.683479000000005
mehamn,778707,NO,71.035698,27.849171000000002
jutai,3663693,BR,-5.183330000000001,-68.900002
chapais,5919850,CA,49.78344,-74.84919000000001
fasa,134721,IR,28.938299,53.648201
presidencia roque saenz pena,3840300,AR,-26.785219,-60.438759
mitsamiouli,921786,KM,-11.38472,43.284439
grand gaube,934479,MU,-20.00639,57.66083100000001
gazimurskiy zavod,2024122,RU,51.546101,118.326599
canico,2270258,PT,32.633331,-16.85
aswan,359792,EG,24.093429999999998,32.90704
sisimiut,3419842,GL,66.939461,-53.6735
lasa,3175096,IT,46.616611,10.70016
les cayes,3728097,HT,18.200001,-73.75
dondo,1024696,MZ,-19.60944,34.743061
san rafael del sur,3616594,NI,11.84854,-86.438393
polunochnoye,1494482,RU,60.869719999999994,60.415279000000005
phalaborwa,965528,ZA,-23.942989,31.141069
ettenheim,2928659,DE,48.25,7.816669999999999
poddorye,508441,RU,57.469471,31.115609999999997
lerik,147611,AZ,38.772628999999995,48.412788
quelimane,1028434,MZ,-17.878611,36.888329
grande prairie,5964347,CA,55.166672,-118.80271100000002
ca mau,1586443,VN,9.17694,105.150002
golyshmanovo,1506422,RU,56.3979,68.372787
borogontsy,2026160,RU,62.66833100000001,131.168335
arinos,3471522,BR,-15.916939999999999,-46.10556
nueva loja,3655185,EC,0.08472,-76.88278199999999
sungairaya,1625908,ID,0.7,108.900002
kamakwie,2408154,SL,9.5,-12.23333
mzimba,925498,MW,-11.9,33.599998
ismailia,361055,EG,30.604271,32.272251000000004
turangi,2180737,NZ,-39.0,175.933334
araceli,1730272,PH,10.5529,119.991302
la ronge,6050066,CA,55.100128000000005,-105.284218
chernyshkovskiy,568527,RU,48.421879,42.23082
jiaojiang,1809061,CN,28.680281,121.44278
kulhudhuffushi,1337613,MV,6.62207,73.06997700000001
maiduguri,2331447,NG,11.84644,13.16027
clearlake,5337908,US,38.958228999999996,-122.626373
kashi,1280849,CN,39.45472,75.979721
vienenburg,2817394,DE,51.950001,10.56667
rio gallegos,3838859,AR,-51.622608,-69.218132
zrenjanin,783814,RS,45.38361,20.381941
severo-yeniseyskiy,1492566,RU,60.372501,93.04083299999999
xining,1788852,CN,36.616669,101.76666999999999
asau,686090,RO,46.433331,26.4
natyrbovo,523269,RU,44.73,40.626389
viedma,3832899,AR,-40.81345,-62.996681
beawar,1276634,IN,26.1,74.316673
kavaratti,1267390,IN,10.566880000000001,72.64202900000001
brae,2654970,GB,60.396351,-1.35296
hlobyne,708753,UA,49.387840000000004,33.25959
dekar,933815,BW,-21.533331,21.933331
poum,2138555,NC,-20.23333,164.016663
keflavik,3415496,IS,64.004921,-22.56242
alyangula,2079582,AU,-13.848329999999999,136.419174
moussoro,2427336,TD,13.640839999999999,16.490070000000003
marsa matruh,352733,EG,31.352539,27.245278999999996
puerto narino,3671387,CO,-3.77028,-70.383057
kudat,1736458,MY,6.8837,116.847702
grand-lahou,2288105,CI,5.13667,-5.02417
vao,2137773,NC,-22.66667,167.483337
maues,3395062,BR,-3.38361,-57.718608999999994
rohnert park,5388564,US,38.339642,-122.701103
oriximina,3393471,BR,-1.7655599999999998,-55.866112
abu dhabi,292968,AE,24.466669,54.366668999999995
taber,6160919,CA,49.816738,-112.15181000000001
sao miguel do araguaia,3448455,BR,-13.275,-50.162781
pontes e lacerda,3453060,BR,-15.22611,-59.33528100000001
sioux lookout,6148373,CA,50.100071,-91.916969
